# Time Tags Distribution
# 2024-08-09 14:21:21
# Unit Time Diff: s
# Unit Count: 1
# Time Diff ; Count
 0.0000000E+000 ;  9.0000000E+000
 1.0008340E-011 ;  1.2000000E+001
 2.0016681E-011 ;  3.0000000E+000
 3.0025021E-011 ;  1.5000000E+001
 4.0033361E-011 ;  1.0000000E+001
 5.0041701E-011 ;  5.0000000E+000
 6.0050042E-011 ;  3.0000000E+000
 7.0058382E-011 ;  1.1000000E+001
 8.0066722E-011 ;  5.0000000E+000
 9.0075063E-011 ;  1.0000000E+001
 1.0008340E-010 ;  8.0000000E+000
 1.1009174E-010 ;  5.0000000E+000
 1.2010008E-010 ;  7.0000000E+000
 1.3010842E-010 ;  3.0000000E+000
 1.4011676E-010 ;  7.0000000E+000
 1.5012510E-010 ;  9.0000000E+000
 1.6013344E-010 ;  7.0000000E+000
 1.7014178E-010 ;  3.0000000E+000
 1.8015013E-010 ;  8.0000000E+000
 1.9015847E-010 ;  1.0000000E+001
 2.0016681E-010 ;  8.0000000E+000
 2.1017515E-010 ;  1.2000000E+001
 2.2018349E-010 ;  8.0000000E+000
 2.3019183E-010 ;  9.0000000E+000
 2.4020017E-010 ;  1.2000000E+001
 2.5020851E-010 ;  8.0000000E+000
 2.6021685E-010 ;  8.0000000E+000
 2.7022519E-010 ;  1.0000000E+000
 2.8023353E-010 ;  6.0000000E+000
 2.9024187E-010 ;  5.0000000E+000
 3.0025021E-010 ;  1.5000000E+001
 3.1025855E-010 ;  7.0000000E+000
 3.2026689E-010 ;  8.0000000E+000
 3.3027523E-010 ;  8.0000000E+000
 3.4028357E-010 ;  6.0000000E+000
 3.5029191E-010 ;  1.3000000E+001
 3.6030025E-010 ;  1.4000000E+001
 3.7030859E-010 ;  8.0000000E+000
 3.8031693E-010 ;  8.0000000E+000
 3.9032527E-010 ;  8.0000000E+000
 4.0033361E-010 ;  9.0000000E+000
 4.1034195E-010 ;  4.0000000E+000
 4.2035029E-010 ;  9.0000000E+000
 4.3035863E-010 ;  1.3000000E+001
 4.4036697E-010 ;  7.0000000E+000
