# Time Tags Distribution
# 2024-08-09 13:21:48
# Unit Time Diff: s
# Unit Count: 1
# Time Diff ; Count
 0.0000000E+000 ;  4.1360000E+003
 1.0008340E-011 ;  4.7310000E+003
 2.0016681E-011 ;  4.0270000E+003
 3.0025021E-011 ;  4.3750000E+003
 4.0033361E-011 ;  4.6740000E+003
 5.0041701E-011 ;  4.2040000E+003
 6.0050042E-011 ;  4.0110000E+003
 7.0058382E-011 ;  4.9700000E+003
 8.0066722E-011 ;  3.6050000E+003
 9.0075063E-011 ;  4.2570000E+003
 1.0008340E-010 ;  4.6790000E+003
 1.1009174E-010 ;  4.2580000E+003
 1.2010008E-010 ;  4.1060000E+003
 1.3010842E-010 ;  4.9220000E+003
 1.4011676E-010 ;  3.7410000E+003
 1.5012510E-010 ;  4.3040000E+003
 1.6013344E-010 ;  4.5430000E+003
 1.7014178E-010 ;  4.2150000E+003
 1.8015013E-010 ;  4.5090000E+003
 1.9015847E-010 ;  4.2480000E+003
 2.0016681E-010 ;  4.3520000E+003
 2.1017515E-010 ;  4.1890000E+003
 2.2018349E-010 ;  4.0750000E+003
 2.3019183E-010 ;  4.6400000E+003
 2.4020017E-010 ;  4.2780000E+003
 2.5020851E-010 ;  3.7480000E+003
 2.6021685E-010 ;  4.9860000E+003
 2.7022519E-010 ;  3.8430000E+003
 2.8023353E-010 ;  4.4200000E+003
 2.9024187E-010 ;  4.3460000E+003
 3.0025021E-010 ;  4.0970000E+003
 3.1025855E-010 ;  4.7640000E+003
 3.2026689E-010 ;  4.3050000E+003
 3.3027523E-010 ;  4.7770000E+003
 3.4028357E-010 ;  4.2200000E+003
 3.5029191E-010 ;  4.3920000E+003
 3.6030025E-010 ;  4.3210000E+003
 3.7030859E-010 ;  4.5870000E+003
 3.8031693E-010 ;  4.3950000E+003
 3.9032527E-010 ;  5.0960000E+003
 4.0033361E-010 ;  4.6510000E+003
 4.1034195E-010 ;  4.3250000E+003
 4.2035029E-010 ;  5.5130000E+003
 4.3035863E-010 ;  4.5230000E+003
 4.4036697E-010 ;  5.4300000E+003
 4.5037531E-010 ;  5.4670000E+003
 4.6038365E-010 ;  5.7030000E+003
 4.7039199E-010 ;  5.4750000E+003
 4.8040033E-010 ;  6.3040000E+003
 4.9040867E-010 ;  7.1290000E+003
 5.0041701E-010 ;  6.6620000E+003
 5.1042535E-010 ;  7.3640000E+003
 5.2043369E-010 ;  8.3500000E+003
 5.3044204E-010 ;  8.0440000E+003
 5.4045038E-010 ;  8.8650000E+003
 5.5045872E-010 ;  1.0457000E+004
 5.6046706E-010 ;  8.8550000E+003
 5.7047540E-010 ;  1.3002000E+004
 5.8048374E-010 ;  1.1924000E+004
 5.9049208E-010 ;  1.3495000E+004
 6.0050042E-010 ;  1.3739000E+004
 6.1050876E-010 ;  1.6830000E+004
 6.2051710E-010 ;  1.7749000E+004
 6.3052544E-010 ;  1.7243000E+004
 6.4053378E-010 ;  2.1149000E+004
 6.5054212E-010 ;  2.2486000E+004
 6.6055046E-010 ;  2.5710000E+004
 6.7055880E-010 ;  2.5292000E+004
 6.8056714E-010 ;  2.9760000E+004
 6.9057548E-010 ;  3.1878000E+004
 7.0058382E-010 ;  3.2767000E+004
 7.1059216E-010 ;  3.1710000E+004
 7.2060050E-010 ;  4.2909000E+004
 7.3060884E-010 ;  4.3098000E+004
 7.4061718E-010 ;  4.5801000E+004
 7.5062552E-010 ;  4.2125000E+004
 7.6063386E-010 ;  5.7633000E+004
 7.7064220E-010 ;  5.5080000E+004
 7.8065054E-010 ;  6.1138000E+004
 7.9065888E-010 ;  5.4207000E+004
 8.0066722E-010 ;  7.8463000E+004
 8.1067556E-010 ;  6.9372000E+004
 8.2068390E-010 ;  6.8873000E+004
 8.3069224E-010 ;  8.4948000E+004
 8.4070058E-010 ;  8.2502000E+004
 8.5070892E-010 ;  7.9330000E+004
 8.6071726E-010 ;  1.0240100E+005
 8.7072560E-010 ;  9.2189000E+004
 8.8073394E-010 ;  1.0186600E+005
 8.9074229E-010 ;  9.8091000E+004
 9.0075063E-010 ;  9.4790000E+004
 9.1075897E-010 ;  1.3385000E+005
 9.2076731E-010 ;  1.0458000E+005
 9.3077565E-010 ;  1.1465000E+005
 9.4078399E-010 ;  1.2443600E+005
 9.5079233E-010 ;  1.2655300E+005
 9.6080067E-010 ;  1.4242400E+005
 9.7080901E-010 ;  1.2451200E+005
 9.8081735E-010 ;  1.4863100E+005
 9.9082569E-010 ;  1.3364800E+005
 1.0008340E-009 ;  1.4039800E+005
 1.0108424E-009 ;  1.4954600E+005
 1.0208507E-009 ;  1.3583800E+005
 1.0308590E-009 ;  1.6565200E+005
 1.0408674E-009 ;  1.4945300E+005
 1.0508757E-009 ;  1.5239300E+005
 1.0608841E-009 ;  1.6233700E+005
 1.0708924E-009 ;  1.5689800E+005
 1.0809008E-009 ;  1.6265300E+005
 1.0909091E-009 ;  1.7722600E+005
 1.1009174E-009 ;  1.4273200E+005
 1.1109258E-009 ;  1.6846800E+005
 1.1209341E-009 ;  1.9492100E+005
 1.1309425E-009 ;  1.3526200E+005
 1.1409508E-009 ;  1.8521300E+005
 1.1509591E-009 ;  1.6926900E+005
 1.1609675E-009 ;  1.7865800E+005
 1.1709758E-009 ;  1.6154800E+005
 1.1809842E-009 ;  1.6642800E+005
 1.1909925E-009 ;  1.8446500E+005
 1.2010008E-009 ;  1.5867300E+005
 1.2110092E-009 ;  1.6255000E+005
 1.2210175E-009 ;  1.9784200E+005
 1.2310259E-009 ;  1.5523100E+005
 1.2410342E-009 ;  1.6121900E+005
 1.2510425E-009 ;  1.9670000E+005
 1.2610509E-009 ;  1.5749800E+005
 1.2710592E-009 ;  1.7160400E+005
 1.2810676E-009 ;  1.6088800E+005
 1.2910759E-009 ;  1.8526100E+005
 1.3010842E-009 ;  1.6988800E+005
 1.3110926E-009 ;  1.6061000E+005
 1.3211009E-009 ;  1.5790900E+005
